,BreweryName,BreweryType,Latitude,Longitude,County,State
139,Cycle Brewing Production and Warehouse,micro,27.766635437218,-82.6622215778581,Pinellas,FL
140,Beach Chalet Brewing Co,brewpub,37.7252994,-122.502981,San Francisco,CA
141,Dirty Oar Beer Company,micro,28.355795,-80.7473064,Brevard,FL
142,"Dissent Craft Brewing Company, LLC",micro,27.8222578098218,-82.6699867630801,Pinellas,FL
143,Great Chicago Fire Brewery and Tap Room,brewpub,28.8102395102041,-81.8767662040816,Lake,FL
144,Hollywood Brewing Co,micro,26.0405657,-80.1658845,Broward,FL
145,Hourglass Brewing,micro,28.7036668145749,-81.3450528024429,Seminole,FL
146,Legacy Caribbean Craft Brewery,micro,25.8950665,-80.2626834,Miami-Dade,FL
147,Motorworks Brewing,micro,27.4908762853266,-82.57129,Manatee,FL
148,Odd Breed Wild Ales,micro,26.2323404937182,-80.1247919998543,Broward,FL
149,Proof Brewing Co,micro,30.4329351226509,-84.2911601134599,Leon,FL
150,Redlight Redlight Beer Parlour and Brewery,micro,28.567899,-81.3485175701754,Orange,FL
151,River City Brewing Co,brewpub,30.3186263877551,-81.6611172653061,Duval,FL
152,Southern Brewing & Winemaking Brewery,brewpub,27.9495902,-82.4500207,Hillsborough,FL
153,The Ravenous Pig / Cask & Larder,brewpub,28.5933111,-81.3558211,Orange,FL
154,Uncle Ernies Bayfront Grill & Brew House,contract,30.1698125,-85.702765,Bay,FL
155,Abide Brewing Company,micro,33.4025703529412,-84.7635664117647,Coweta,GA
156,Chattabrewchee Southern Brewhouse,micro,32.8762576310151,-85.1853615243903,Troup,GA
157,Cherokee Brewing + Pizza Company,brewpub,34.7697666359591,-84.9694072096123,Whitfield,GA
158,Max Lager's Wood Fired Grill & Brewery,brewpub,33.76333225,-84.3870607355802,Fulton,GA
159,Porter Pizza & Brewery,brewpub,33.9043481,-84.4304239,Fulton,GA
160,Printer's Ale Manufacturing Co.,micro,33.6113894489796,-85.1024965714286,Carroll,GA
161,Southern Brewing Company,micro,33.9811401213053,-83.3500228701351,Clarke,GA
162,SweetWater Brewing Co,regional,33.80802235,-84.3810721937623,Fulton,GA
