Q1,Q2,Q3,Q4
43618,,60702,
43032,,54589,
46201,,67331,
63671,,67331,
56516,,65724,
84564,,67331,
60620,,63234,
101741,,65724,
72975,,64783,
58214,,55631,
55091,,58419,
48943,,61247,
84564,,67331,
55091,,54589,
84564,,50533,
105241,,66381,
56371,,67331,
70688,,60010,
60620,,53344,
60620,,64783,
51894,,54251,
66501,,65482,
83188,,64151,
63240,,56695,
61713,,66211,
54746,,60014,
99831,,60014,
99831,,62559,
62570,,59451,
59176,,60014,
60620,,46263,
62159,,51996,
64090,,66199,
55091,,60014,
64090,,59025,
66501,,59025,
66501,,59025,
62159,,59025,
66501,,53644,
64960,,68692,
53167,,66520,
84564,,58981,
56371,,66520,
58055,,50316,
56897,,48219,
66501,,36875,
60620,,58981,
62159,,59025,
62159,,59025,
52215,,59025,
52414,,59025,
105600,,59025,
60620,,46390,
53829,,43568,
59176,,55267,
105241,,51475,
61597,,78806,
64090,,59025,
60620,,59025,
57640,,58981,
62159,,47046,
43112,,43568,
55448,,58981,
51612,,58981,
55448,,66520,
57252,,45092,
57252,,71526,
55448,,43235,
69455,,47860,
41542,,45613,
84377,,49687,
74314,,43235,
47675,,60053,
53054,,45092,
57252,,45092,
48512,,45092,
69455,,45092,
55448,,56303,
42764,,45092,
46599,,58926,
69455,,58958,
47759,,75254,
69455,,66803,
55448,,75254,
48512,,58926,
63033,,75254,
50062,,58926,
74314,,66803,
53054,,75254,
63033,,50702,
56542,,66803,
53054,,75254,
55448,,66803,
55820,,75254,
60058,,75254,
84377,,50702,
74314,,75254,
55448,,75254,
57252,,58619,
73565,,50702,
63977,,75254,
57388,,58619,
68634,,51073,
91645,,75254,
60918,,55910,
52503,,55910,
52503,,75254,
65040,,55910,
52503,,66803,
55623,,121329,
54704,,110012,
52503,,65821,
52503,,100916,
52503,,100916,
65040,,75714,
65040,,91492,
64648,,91492,
52503,,102951,
55623,,102951,
54704,,49780,
60251,,101350,
52503,,49780,
47388,,54351,
52503,,91492,
52503,,102951,
52503,,49780,
57753,,60143,
64648,,110012,
57753,,90584,
49924,,77795,
43621,,106543,
78540,,106543,
64648,,83253,
68724,,82686,
54704,,106543,
54704,,69857,
54704,,106543,
55623,,69857,
52565,,106851,
52503,,96030,
62596,,82686,
57753,,75843,
57753,,106543,
60251,,74142,
52503,,60143,
48018,,77795,
52693,,74142,
63352,,77795,
68611,,60143,
