Q1,Q2,Q3,Q4
38.1,,25.2,
57.1,,31.9,
46,,31.9,
34.9,,32,
15.8,,32,
38.1,,32,
22.5,,32,
38.1,,23,
14.3,,32.4,
38.1,,32.4,
31.8,,34.1,
20.7,,34.1,
33.8,,32.8,
38.1,,32.8,
41.7,,19.7,
49.9,,34.1,
31.8,,18.3,
33.8,,32.4,
14.3,,34.1,
33.7,,27.6,
34.9,,23.4,
29.8,,38.1,
18.7,,34.9,
57.1,,38.6,
33.8,,20.7,
33.8,,31.8,
34.9,,34.6,
14.5,,31.8,
38.1,,21.8,
57.1,,46,
57.1,,51.3,
21.8,,46,
49.9,,38.1,
34.9,,46,
57.1,,31.8,
17.7,,20.3,
38.6,,39.9,
51.3,,31.8,
21.8,,34.6,
34.9,,57.1,
16.1,,38.1,
38.1,,38.1,
33.8,,31.8,
34.9,,38.1,
31.8,,30.4,
34.9,,30.4,
57.1,,41.6,
36.6,,39.9,
51.3,,30.6,
57.1,,38.1,
57.1,,57.1,
46,,26.2,
24.7,,41.6,
51.3,,49.9,
38.1,,31.8,
51.3,,39.9,
34.9,,39.9,
46,,21.8,
22.2,,20.3,
34.9,,31.8,
60.8,,31.8,
21.2,,26.5,
43.9,,39.9,
34.5,,38.1,
47.9,,51.3,
47.9,,31.8,
60.8,,57.1,
47.9,,18.4,
47.9,,39.9,
43.9,,30.4,
60.8,,46,
43.9,,21.8,
26.7,,31.8,
60.8,,40,
47.9,,31.8,
57.9,,38.1,
23.6,,38.1,
30,,38.1,
43.9,,21.8,
37.9,,34.6,
37.9,,39.9,
23.9,,26.1,
48.6,,38.1,
44.1,,30.4,
46.3,,49.9,
51,,46,
28.6,,38.1,
43.9,,38.1,
26.7,,20.3,
26.7,,38.1,
27.4,,31.8,
55.3,,34.6,
60.8,,41.6,
23.6,,16.9,
44.1,,41.7,
48.1,,31.8,
37.8,,40,
44.1,,26.5,
23.9,,33.7,
37.9,,31.8,
47.9,,21.8,
27.4,,38.1,
44.1,,22.5,
43.9,,39.9,
37.9,,38.1,
50.4,,38.1,
28.6,,26.5,
46.3,,57.1,
33.5,,36.6,
26.7,,33.8,
60.8,,31.8,
44.1,,18.4,
60.8,,30.4,
48.6,,31.8,
27.4,,20.7,
22,,46,
42.2,,46,
34,,38.1,
37.9,,29.8,
47.9,,31.8,
51,,51.3,
60.8,,57.1,
48.6,,34.9,
60.8,,31.8,
38.9,,31.8,
46.3,,46,
37.9,,38.1,
27.4,,20.7,
57.9,,14.5,
18.2,,18.4,
26.1,,46,
22,,38.1,
56.7,,38.1,
43.9,,33.8,
27.4,,46,
51,,38.1,
60.8,,30.6,
60.8,,14.3,
23.7,,15.8,
46.3,,38.1,
22.1,,30.4,
60.8,,31.8,
47.9,,20.3,
60.8,,38.1,
46.5,,38.1,
47.9,,33.1,
47.4,,39.9,
47.4,,38.1,
37.8,,39.9,
47.4,,31.8,
24.1,,31.8,
33.3,,38.1,
24.1,,57.1,
26.5,,38.6,
23.6,,31.8,
35.9,,31.8,
26.5,,34.9,
26.5,,29.8,
26.5,,33.1,
26.5,,37.8,
35.9,,38.1,
35.9,,38.1,
57.6,,38.1,
57.6,,38.1,
57.6,,38.1,
29.3,,38.6,
28.3,,38.1,
57.6,,31.8,
31.9,,18.4,
28.1,,22.5,
32.7,,26.1,
28.2,,31.8,
35.7,,31.8,
31,,26.2,
29.2,,39.9,
22.8,,30.4,
33.8,,30.4,
20.8,,20.3,
26.4,,38.1,
32.7,,38.1,
28.3,,38.1,
31,,39.9,
29.2,,31.8,
38.2,,31.8,
34.7,,36.6,
33.8,,30.4,
28.2,,33.7,
28.8,,41.7,
32.7,,46,
31,,38.6,
33.3,,33.7,
35.7,,33.7,
33.8,,57.1,
29.2,,34.6,
29.2,,34.9,
32.7,,31.8,
51.4,,38.1,
42.7,,30.4,
46.5,,31.8,
33.2,,38.1,
25.7,,33.8,
51.4,,38.1,
20.4,,38.1,
51.4,,51.3,
51.4,,33.1,
51.4,,20.3,
43.4,,38.1,
21.4,,39.9,
34.3,,14.5,
29.5,,20.3,
26.6,,30.4,
34.3,,46,
34.3,,30.4,
21.1,,34.9,
37.8,,20.7,
45.1,,30.4,
30.1,,31.8,
27.2,,16.9,
11.6,,51.3,
45.1,,31.8,
30.1,,38.1,
38.2,,14.5,
30.1,,34.9,
38.2,,34.6,
41.5,,31.8,
38,,33.1,
27.3,,38.1,
13.2,,21.8,
38,,51.3,
34,,57.1,
38,,34.9,
44.4,,57.1,
23.2,,31.8,
21,,39.9,
21,,21.8,
22.6,,31.8,
38,,20.3,
38,,38.1,
44.8,,41.6,
38,,31.8,
34.2,,41.6,
38,,33.8,
38,,46,
31.4,,31.8,
22.6,,29.8,
38,,38.1,
22.6,,38.1,
26.4,,38.1,
48.8,,41.6,
38,,30.4,
45,,20.7,
38,,38.1,
38,,34.6,
22.6,,34.9,
45,,57.1,
48.8,,33.1,
38,,31.8,
30.4,,38.1,
24.8,,33.1,
38,,38.1,
38,,38.1,
22.6,,22.2,
22.6,,31.8,
38,,41.6,
38,,31.8,
38,,20.7,
11.7,,31.8,
17.9,,57.9,
15.9,,51,
33.1,,63.1,
30.4,,26.7,
30.4,,44.1,
36.3,,46.3,
45.6,,47.9,
22.1,,48.1,
30.4,,60.8,
20.6,,60.8,
29.2,,44.1,
57.8,,37.9,
57.8,,46.3,
45.6,,50.4,
19.2,,47.9,
57.8,,47.9,
28.2,,46.3,
21.2,,26.1,
28.2,,37.9,
37.7,,27.4,
26.3,,26.7,
48.3,,46.3,
22.1,,47.9,
18.2,,47.9,
16.9,,47.9,
22.1,,44.1,
30.4,,47.9,
22.2,,47.9,
29.2,,42.2,
22.1,,37.9,
30.4,,33.5,
24.5,,33.5,
45.6,,60.8,
30.4,,47.9,
30.4,,46.3,
22.1,,47.9,
32.3,,47.9,
30.5,,37.9,
16.6,,18.2,
49.4,,37.9,
20.5,,47.9,
53,,47.9,
53,,44.1,
30.5,,46.5,
21.3,,26.7,
36.1,,51,
31.9,,47.9,
36.1,,26.7,
31.9,,55.3,
21.5,,47.9,
28.6,,44.1,
15.7,,47.9,
19.1,,42.2,
51.1,,47.9,
20.5,,57.9,
53,,47.9,
17.7,,37.9,
28.6,,46.3,
28.6,,46.3,
15.7,,30.2,
15.5,,46.3,
50.4,,47.9,
30.9,,23.6,
18.4,,44.1,
30.8,,47.9,
26.2,,60.8,
55.3,,47.9,
17.4,,47.9,
55.3,,48.6,
31.7,,51,
30.9,,21.2,
50.4,,34,
30.9,,23.6,
46,,23.6,
30.9,,42.2,
32.7,,47.9,
32.7,,47.9,
42.9,,47.9,
42.9,,47.9,
32.7,,46.3,
24.6,,42.2,
30.6,,47.9,
12.1,,47.9,
36.8,,26.1,
33.5,,60.8,
15.8,,42.2,
27.1,,47.9,
32.3,,47.9,
27.1,,46.5,
46.7,,23.9,
27.1,,42.2,
22.2,,46.3,
32.3,,26.7,
27.1,,44.1,
29.6,,37.9,
18.9,,60.8,
27.1,,60.8,
31,,55.5,
31.4,,47.9,
27.1,,47.9,
19,,47.4,
27.1,,34.9,
31.2,,24.1,
31.2,,37.8,
40.9,,41.2,
30.4,,33.3,
31.2,,33.3,
59,,47.4,
61.4,,47.4,
26.8,,37.8,
61.4,,37.8,
35.6,,37.8,
30.4,,34.9,
31.2,,47.4,
59,,34.9,
31.1,,37.8,
46.5,,34.9,
44.2,,37.8,
35.9,,34.9,
39.4,,41.5,
39.4,,37.8,
44.8,,37.8,
44.8,,26.5,
35.9,,23.6,
55.2,,35.9,
55.2,,57.6,
28,,57.6,
35.9,,31.9,
46.5,,31,
44.2,,32.7,
55.2,,29.2,
33.4,,42.5,
44.8,,57.6,
37.2,,57.6,
39.4,,23.6,
22.7,,27.8,
26.5,,23.4,
34.8,,43.7,
21.2,,29.2,
14,,33.3,
23.3,,28.8,
55.2,,51.4,
17.5,,31,
35.2,,28.8,
33.5,,17.6,
20.9,,35.7,
23.3,,32.7,
33.7,,23.4,
18.3,,33.8,
38.1,,13.4,
55.2,,31,
46.4,,31,
34.8,,31,
21.9,,42.5,
38.1,,29.3,
15.9,,31,
38.1,,22.2,
24.5,,43.7,
35.2,,23.4,
46.4,,42.5,
20.9,,31,
21.9,,27.8,
29.2,,29.3,
35.2,,31,
23.3,,29.2,
26.8,,20,
35.2,,26.4,
26.8,,15.6,
35.2,,29.3,
35.2,,32.7,
14.2,,20.3,
20.9,,23.4,
20.9,,19.4,
23.3,,38.2,
12.1,,17.5,
16.1,,29.3,
27.7,,29.2,
23.3,,29.2,
46.4,,31.9,
24.5,,33.3,
35.2,,33.8,
35.2,,28.8,
35.2,,34.7,
18.3,,32.7,
21.5,,28.8,
17,,31,
46.4,,17.5,
55.2,,31,
35.2,,35.7,
31.5,,27.8,
55.2,,17.6,
35.2,,29.3,
38.5,,23.6,
27.7,,28.8,
21.8,,33.8,
14.2,,45.7,
33.2,,33.8,
23.2,,31,
20.9,,17.1,
35.1,,26.4,
20.9,,23.6,
34,,31,
23.3,,30.6,
29.2,,31,
23.3,,36.2,
20,,33.8,
35.1,,20.3,
46.4,,31,
22.7,,35.7,
38.1,,20.3,
38.1,,31,
22.7,,31,
19.1,,29.2,
35.2,,26.4,
18.8,,31,
46.4,,20,
20.9,,31.9,
33.5,,33.8,
21.4,,31,
35.1,,32.7,
33.2,,29.2,
13.8,,28.3,
46.4,,22.7,
55.2,,31,
28.2,,28.8,
27.7,,43.4,
38.5,,18.5,
23.3,,51.4,
29.3,,51.4,
42.8,,21.3,
21,,51.4,
21.2,,21.3,
38.1,,46.5,
16.3,,28.3,
12.1,,51.4,
35.2,,24,
27.7,,51.4,
21.1,,51.4,
22.7,,46.5,
35.1,,21.4,
20.9,,51.4,
16.1,,46.5,
20.9,,21.3,
38.1,,51.4,
17.8,,33.2,
55.2,,36.1,
23.3,,33.2,
20.1,,51.4,
35.2,,43.4,
31.5,,43.4,
55.2,,33.2,
46.4,,51.4,
41.9,,29.5,
28.1,,21.3,
24.3,,37,
28.7,,26.6,
49.2,,34.3,
28.7,,34.3,
28.7,,37.8,
44,,18.3,
49.2,,24.9,
41.9,,37.8,
42.4,,30.1,
29.7,,27.2,
41.8,,23.1,
17.6,,24.9,
49.2,,24.9,
49.2,,24.9,
49.2,,37.8,
39.3,,11.6,
43.2,,37.8,
27.5,,20.2,
24.5,,16.6,
25.1,,38,
41.9,,22.5,
49.2,,38,
49.2,,38,
23.3,,23.2,
35,,36,
20.1,,38,
20.1,,45,
35,,38,
30.9,,33.7,
35,,22.5,
32.7,,23,
35,,44.8,
43.2,,22.5,
37.8,,38,
41.8,,48.8,
43.2,,34,
30.9,,38,
43.2,,34,
20.1,,22.5,
35,,38,
16,,38,
30.2,,19.3,
20.2,,34.2,
20.9,,20.5,
30.5,,38,
32.9,,34,
32.7,,27.3,
30.9,,38,
30.2,,38,
35,,45,
37.8,,38,
18.9,,12.8,
37.8,,38,
49,,16.7,
29.9,,27.3,
49,,38,
27.1,,38,
26,,38,
49,,38,
26,,38,
42.5,,38,
49,,34.2,
31,,38,
31,,45,
38.8,,33.1,
21.2,,38,
22.4,,38,
38.8,,23.2,
38.8,,25.8,
38.9,,44.4,
38.8,,34,
38.9,,33.7,
38.9,,45,
30.5,,38,
23.9,,38,
30.5,,38,
23.9,,38,
30.5,,45,
30.5,,44.4,
30.5,,23.2,
23.9,,38,
30.5,,44.8,
30.5,,34,
30.5,,10.8,
30.5,,22.1,
28.7,,19.2,
35.6,,17.9,
37.3,,18.1,
35.6,,28.2,
33.6,,30.4,
40.7,,30.4,
32.4,,30.4,
40.5,,36.3,
33.6,,30.4,
33.6,,30.4,
40.7,,28.2,
29.2,,21.6,
34.8,,28.2,
42.7,,30.4,
34.9,,28.2,
52,,28.2,
53.6,,18.2,
31.5,,18,
20.5,,37.7,
33.9,,20.7,
33.9,,30.3,
30,,22.2,
13,,57.8,
20.5,,31.8,
28,,24.3,
27.5,,26.3,
33.9,,22.4,
33.9,,36.1,
30,,53,
33.9,,31.7,
27.3,,53,
27.5,,24.8,
33.9,,23,
33.9,,22.2,
25.1,,33,
40.9,,22,
27.5,,18.1,
28,,22.7,
15.2,,36.1,
15.9,,36.1,
24.7,,31.9,
35.2,,36.1,
33.7,,24.3,
