,BreweryName,BreweryType,Latitude,Longitude,County,State
4358,Hoquiam Brewing Company,micro,46.975367122449,-123.886561244898,,
4359,192 Brewing,micro,47.75670075,-122.241565244724,King,WA
4360,Cairn Brewing,micro,47.7571424,-122.24408655486,King,WA
4361,Airways Brewing Co,micro,47.4119802,-122.2391026,,
4362,Four Horsemen Brewery,micro,47.3844953,-122.1426915,,
4363,Northern Ales,brewpub,48.6097979307548,-118.065184317399,Stevens,WA
4364,Downpour Brewing LLC,micro,47.8010831,-122.500158654833,,
4365,Chainline Brewing Company,micro,47.6717847,-122.1967583,,
4366,Maelstrom Brewing Company,micro,47.6991435,-122.180943,,
4367,Lake Stevens Brewing Company,micro,48.0161107156973,-122.063255244378,Snohomish,WA
4368,RAM Restaurant and Brewery - Lakewood,brewpub,47.166010428089,-122.515613205311,,
4369,Double Bluff Brewing,micro,48.0403212,-122.4090435,,
4370,Blewett Brewing Company,brewpub,47.5951880648137,-120.659947946691,Chelan,WA
4371,Doghaus Brewery,micro,47.5946088272111,-120.659822512213,Chelan,WA
4372,Icicle Brewing Co,brewpub,47.5962501,-120.6597193,Chelan,WA
4373,Ashtown Brewing Co,micro,46.1366198701715,-122.932740850085,Cowlitz,WA
4374,Five Dons Brewing Co,micro,46.1341850577576,-122.932628682767,Cowlitz,WA
4375,Rock Wood Fired Pizza and Brewery - Lynnwood,contract,47.82048455,-122.287641610199,Snohomish,WA
4376,5 Rights Brewing Co,micro,48.037429,-122.136104,,
4377,Swinnerton Brewery,micro,48.0554713187144,-122.171023514565,Snohomish,WA
4378,Adam's Northwest Bistro / Twin Rivers Brewing,brewpub,47.8558847142728,-121.970886952765,Snohomish,WA
4379,Circle 7 Brew Works,micro,47.8679484527978,-121.958464504586,Snohomish,WA
4380,Ten Pin Brewing - Production Facility,micro,47.1448735537829,-119.278173739206,Grant,WA
4381,Ten Pin Brewing Co,brewpub,47.145064411016,-119.278169917565,,
4382,St Brigid's Brewery,brewpub,47.1280836846376,-119.285096155572,Grant,WA
4383,Farmstrong Brewing Co,micro,48.4431376,-122.3369645,Skagit,WA
4384,Skagit River Brewery,brewpub,48.4193151,-122.3354271,Skagit,WA
4385,Diamond Knot Brewery B2 Brewery & Taproom,brewpub,47.8961102580814,-122.295519299405,,
4386,Diamond Knot Craft Brewing - Brewery & Alehouse,brewpub,47.9484603,-122.304707468657,Snohomish,WA
4387,Flyers Restaurant and Brewery,brewpub,48.2991197,-122.652847439221,,
4388,Wicked Teuton Brewing,micro,48.2872803489933,-122.659915832215,,
4389,Rocky Coulee Brewing,micro,47.3331973855202,-118.686746526088,Lincoln,WA
4390,Cascadia Brewing Co.,micro,47.0449127346939,-122.900173959184,Thurston,WA
4391,Fish Brewing Co,micro,47.0343712857143,-122.895417857143,Thurston,WA
4392,McMenamins Spar Cafe Brewery,brewpub,47.0449997425281,-122.901376762898,Thurston,WA
4393,Well 80 Brewing Company,brewpub,47.0453448571429,-122.896428714286,Thurston,WA
